conversation_id,conv_indx,tweetId,content,userId
1027705841808551936,0,1027705841808551936,The @premierleague is back tomorrow 😍😍😍,466107707
1027705638401523714,0,1027705638401523714,"©️ THE #FPL CAPTAINS POLL ©️

Fantasy Premier League football is BACK ladies and gents!

With tonight’s 7pm deadline fast approaching, it’s time for us to ask you the biggest question you’ll be asked this week:

Your Gameweek 1️⃣ captain is...",470018406
1027705638401523714,6,1027804676241145856,"@FPL_OWLBEAR @FFPundits If I was brave enough not to own Salah, I’d captain Mané this week 👍
Good luck",860951831777771520
1027705638401523714,10,1027709014619172866,@FFPundits Any tips? https://t.co/VJz1wRpDbO,922075763507122176
1027705638401523714,11,1027805006274224128,"@MarkyHHugget @FFPundits Cedric is probably 50/50 whether he starts this weekend, likely to be back for GW2 though",860951831777771520
1027705638401523714,14,1027806698424213504,@FFPundits_Drew @FPL_OWLBEAR Same!,470018406
1027705516263464961,0,1027705516263464961,"@MadebyNatalia Did you hear Mina is now playing in the Premier League? He got signed by my club, Everton.",858244945
1027705516263464961,1,1027711060361572352,@BritishCPA What! Crazy! Mina rocks! Can’t wait for all Evertons to start dancing ! https://t.co/bj2S8x5PkB,117277917
1027705516263464961,2,1027711314846773248,@MadebyNatalia As long as he’s solid at back bags us a few goals we’ll cha cha until the sun comes up!,858244945
1027705050129264640,0,1027705050129264640,"Premier League season about to start! I think I may have my #FPL team 🤔. Will more than likely change, but I’m happy with this for now. https://t.co/Vs6YFQ8vv3",26462306
1027705050129264640,1,1027832267375136768,Alright no more changes 🤔 #FPL https://t.co/FHXNvzOmIE,26462306
1027704543889567744,0,1027704543889567744,So this is what the Premier League looks like by 2097👍💀 Anyone else play @F_Chairman and wanna compare records etc? https://t.co/28KxNxIYbX,951581670536368134
1027704543889567744,1,1027713656291815424,@DxVfl @F_Chairman Howrich 😂,982004182747054080
1027704543889567744,2,1027734705179906049,@georgescott___ @F_Chairman Gotta represent my nation,951581670536368134
1027704520711856129,1,1027724152218636289,@OnceIniciaI @SpursOfficial @HKane @ChrisEriksen8 @premierleague Respect! 👍,403625211
1027704514990628864,0,1027704514990628864,"Ugh I’m missing SO much this weekend because of school

- @hasanminhaj performing in LA
- @dallascowboys preseason opener 
- @premierleague opening weekend
- @BallastPoint Sours of the Wench Day in San Diego 

😔",323357063
1027704247570391040,1,1027705438496808960,@vine_adler Everton vem forte,4508945476
1027703188512796673,8,1027907409153540101,@Curiosidades_PL Go Everton!,868309346509312000
1027703139183587329,0,1027703139183587329,A total of 16 Argentine's will take part in the English Premier League this season. Here's the full list with the matches for this weekend.  https://t.co/LsUze3b7gl,382431601
1027702369298075648,9,1027881512644079616,@fucholopez @Footballosky Guarden twitt,3309596254
1027702369298075648,12,1027974392532357122,@Footballosky Y el Liverpool?,1025035025044189185
1027702350419505152,0,1027702350419505152,Doing my #PremierLeague predictions right now,818636829859729408
1027702350419505152,1,1027773283188596736,check this out https://t.co/MkFjgjTDsR,818636829859729408
1027702350419505152,2,1027703673579888646,@nathanjm000 Send ur predictions to me mate 😌,264154093
1027702350419505152,3,1027703724494516224,@slinky_okad I will,818636829859729408
1027702350419505152,4,1027753682031529984,@slinky_okad @nathanjm000 I’m in 😉👆🏻,270980133
1027702350419505152,5,1027773242398978048,@Mike_MMMG @slinky_okad check this out https://t.co/MkFjgjTDsR,818636829859729408
1027702350419505152,6,1027773259650093056,@slinky_okad check this out https://t.co/MkFjgjTDsR,818636829859729408
1027702288587137026,0,1027702288587137026,Premier league prediction thread + rating their window out of 10. Likes and RT appreciated. https://t.co/cHgRYaZVzO,909192793960087554
1027702288587137026,1,1027702459244969984,Man City (1st) : Walked the league last season and it’s hard to see any different. Mahrez is a solid addition and Gomes is one for the future. 6/10 https://t.co/qEa8sZPudv,909192793960087554
1027702288587137026,2,1027702689818402817,"Liverpool (2nd) : Should’ve finished here last season but with a ucl final, they can only go forward. Alisson is much needed and midfield improvements are good as well as Shaqiri being back up for the front 3 which was needed. 8/10. https://t.co/SAER1ZK9Q1",909192793960087554
1027702288587137026,3,1027703565953978375,Chelsea (3rd) : A slow start to the season with sarriball taking time to implement. Morata + Willian must improve. 3 great signings especially Jorginho. Hazard and kante staying is crucial. Willian/martial swap was needed and fekir/bailey would have been nice. 8.5/10 https://t.co/C0Zd5T2Ks5,909192793960087554
1027702288587137026,4,1027703697491537926,Arsenal (4th) : Solid rebuild under Emery and should do well in europa. Arsenal have had a decent window with all their signings been good addictions especially torreira. 8/10 https://t.co/dlBixGT87f,909192793960087554
1027702288587137026,5,1027703840496345090,"Spurs (5th) : Pochettino is a very good manager and deserves better.
Still have a very good team but might struggle a bit. Levy. 0/10 https://t.co/bm62MRwUi0",909192793960087554
1027702288587137026,6,1027703953881006086,"Man United (6th) : Mourinho collapse is in full effect. Could finish here, could finish 15th. Fred and Dalot are pretty good additions 6.5/10 https://t.co/KPHe7GhN5c",909192793960087554
1027702288587137026,7,1027704090447499270,"West Ham (7th) : Arnoutavic was amazing last season and needs to keep it up. Another phenomenal window with some smart business, Fabianski, Fredericks, perez and wilshere on low fees. 9/10 https://t.co/Hg6ENuqVDO",909192793960087554
1027702288587137026,8,1027704251118759936,Everton (8th) : Marco silva is a great coach and with a better team than Watford he should be good. A late flurry of additions makes their window very solid. 8/10. https://t.co/LhacvXYqtU,909192793960087554
1027702288587137026,9,1027704378248056832,"Leicester (9th) : Puel is a solid manager. It’s where they finished last season and even with the loss of mahrez, they should be fine. Maddison and some new CB’s have been decent addictions. Mahrez’s replacement, Ghezzal, could have been better. 7.5/10. https://t.co/1MeucKRBNa",909192793960087554
1027702288587137026,10,1027704522964185090,Wolves (10th) : Won the championship championship in control last season. Jorge mendes has done a madness with Patricio on a free and Moutinho for £5m as well as dendoncker. 8.5/10 https://t.co/JJPBVNUhVL,909192793960087554
1027702288587137026,11,1027704659815944193,Fulham (11th) : Decent style of football and sessengon should be interesting but they’re only here for the next bit. Phenomenal window and have strengthened in every area. Have depth as well. 9.5/10. https://t.co/qxtslkPtBR,909192793960087554
1027702288587137026,12,1027704772135137281,"Burnley (12th) : Whilst Sean Dyche is an amazing coach, I don’t think they can maintain their 1-0 style of play and add to europa should they qualify, depth could be an issue Should have another solid season. Not to much business, Vydra might get a few, but it’s Burnley. 3.5/10 https://t.co/lrtmgvZLy9",909192793960087554
1027702288587137026,13,1027704890917875713,Crystal Palace (13th) : Great end to last season and zaha needs to be up and firing if they want to remain competitive. Meyer is a solid addition. 6/10. https://t.co/OQ8d9cuqf3,909192793960087554
